mode,run_id,sub,sid,jti,stream_start_ns,revoke_sent_ns,termination_ns,latency_to_enforce_ms,risk_window_ms,risk_window_ms_censored,risk_window_messages,post_revoke_deny,still_running_after_observe,receiver_status,receiver_body,output_lines,observe_after_revoke_ms,token_issuer,auth_flow,event_match_fields
baseline-ext_authz,1,user-alice-12c8e2cf-c1c3-441f-8a54-859b5c003820,adb89908-c563-478e-b351-f2925f70860b,8d48d5bb-f6f3-4a7a-9307-fc32a4e40da2,1774203818521138667,1774203819521229170,,,2006.328,1,198,1,1,200,"{""published"":true,""event_id"":""a4def2b4e5c193282fc62ef0b3e880c8"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:adb89908-c563-478e-b351-f2925f70860b"",""jti:8d48d5bb-f6f3-4a7a-9307-fc32a4e40da2""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,2,user-alice-fe34b3a3-8e50-4411-b20c-7646c31ebf3a,8bf9049d-4ef5-4742-9af6-698cf0b32b59,39df8f41-2917-4b17-b2c5-2de2dbb794aa,1774203821566916752,1774203822567015018,,,2007.345,1,198,1,1,200,"{""published"":true,""event_id"":""24d443bceb92cb8ecb7fa8b3da5a0979"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:8bf9049d-4ef5-4742-9af6-698cf0b32b59"",""jti:39df8f41-2917-4b17-b2c5-2de2dbb794aa""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,3,user-alice-f495aa12-b9e6-4189-9399-567e658cf0bc,01873aa0-1e5e-4bcb-bb18-86f755dcb9f7,404703be-04cd-471e-9cb7-03fbb8f597f7,1774203824615928329,1774203825615964052,,,2007.714,1,198,1,1,200,"{""published"":true,""event_id"":""cfea084c8da724cc0974c607f119af2c"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:01873aa0-1e5e-4bcb-bb18-86f755dcb9f7"",""jti:404703be-04cd-471e-9cb7-03fbb8f597f7""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,4,user-alice-84a4de86-9ba2-4c44-a81e-005bdbce565d,fb17e536-181a-4668-9aec-ab10be1bae85,be6bf869-9863-448c-993a-10d60135530b,1774203827664342576,1774203828664423079,,,2011.732,1,196,1,1,200,"{""published"":true,""event_id"":""616d3539592ec24a11ac4cd42d4d8d9d"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:fb17e536-181a-4668-9aec-ab10be1bae85"",""jti:be6bf869-9863-448c-993a-10d60135530b""]}",294,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,5,user-alice-a35b119b-a980-4e12-bf89-fe88d752bf85,5ad4965c-8492-4358-932c-3eb37822910a,13d4a164-943a-4dcd-a896-b6fda2510d31,1774203830721149790,1774203831721276845,,,2012.909,1,194,1,1,200,"{""published"":true,""event_id"":""e99ab8b9f07c14d107948ad65f56af35"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:5ad4965c-8492-4358-932c-3eb37822910a"",""jti:13d4a164-943a-4dcd-a896-b6fda2510d31""]}",291,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,6,user-alice-86bd833e-483f-4a9e-9415-651e78ed8791,2a6a8824-0ae7-4606-93d8-4a84ce2d0108,dbd2e01b-02a0-455f-a87b-3c5ec5fb0888,1774203833777552347,1774203834777607802,,,2013.506,1,198,1,1,200,"{""published"":true,""event_id"":""a68503b35eabeed94b211bc8b54bb4e6"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:2a6a8824-0ae7-4606-93d8-4a84ce2d0108"",""jti:dbd2e01b-02a0-455f-a87b-3c5ec5fb0888""]}",295,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,7,user-alice-04baa9a9-722c-4293-8f65-af4145344872,81c63f4a-0721-4650-97c0-0e552307ef3d,4d6ac61d-138d-4634-a186-b0f65a8c3d97,1774203836831590617,1774203837831674312,,,2007.314,1,192,1,1,200,"{""published"":true,""event_id"":""63748de85923f668eebdc3d6af2c0a2a"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:81c63f4a-0721-4650-97c0-0e552307ef3d"",""jti:4d6ac61d-138d-4634-a186-b0f65a8c3d97""]}",290,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,8,user-alice-0c98100b-38f3-42f8-825e-f2a0ea88035e,21e91cb3-a87e-4e5f-9dcd-e846471fd94e,280a856a-acfa-4ef4-9276-e3f4b9e00ced,1774203839883960071,1774203840884056020,,,2307.402,1,130,1,1,200,"{""published"":true,""event_id"":""401546bd806429980008ff46e4b00d42"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:21e91cb3-a87e-4e5f-9dcd-e846471fd94e"",""jti:280a856a-acfa-4ef4-9276-e3f4b9e00ced""]}",226,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,9,user-alice-e66bb148-e05c-4eea-a68e-ba76936f0a03,0a4864f7-a172-44a4-938e-716082b2df2e,98ff2551-c5bb-48c0-8d90-615a26be6212,1774203843235908384,1774203844235980463,,,2009.402,1,198,1,1,200,"{""published"":true,""event_id"":""a9a3907856bf6e2f7465efd06b27b45f"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:0a4864f7-a172-44a4-938e-716082b2df2e"",""jti:98ff2551-c5bb-48c0-8d90-615a26be6212""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,10,user-alice-7cdde730-6591-4970-b703-d36ec94f9b24,210090ca-4677-4243-9f8a-0d4d22d1d8e3,808486b4-2cbb-4884-a8d1-d66a512fb94f,1774203846285965268,1774203847286027442,,,2009.702,1,198,1,1,200,"{""published"":true,""event_id"":""0e2455266e4f96c7449241e37f25cc95"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:210090ca-4677-4243-9f8a-0d4d22d1d8e3"",""jti:808486b4-2cbb-4884-a8d1-d66a512fb94f""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
