mode,run_id,sub,sid,jti,stream_start_ns,revoke_sent_ns,termination_ns,latency_to_enforce_ms,risk_window_ms,risk_window_ms_censored,risk_window_messages,post_revoke_deny,still_running_after_observe,receiver_status,receiver_body,output_lines,observe_after_revoke_ms,token_issuer,auth_flow,event_match_fields
baseline-ext_authz,1,user-alice-7ca14ede-50c8-4f33-bb5d-1b738732be28,30a3c57a-6c83-4a3a-adc2-d2ea217002f0,4d0af5fe-ed1f-41a6-88dd-d39fbe422a81,1774203631624045435,1774203632624406270,,,2026.829,1,11,1,1,200,"{""published"":true,""event_id"":""1841bcc4b137ce068076980714d1eaf7"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:30a3c57a-6c83-4a3a-adc2-d2ea217002f0"",""jti:4d0af5fe-ed1f-41a6-88dd-d39fbe422a81""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,2,user-alice-cb8fd7ae-7998-4943-8050-584df484d536,0600a514-d375-4061-abc9-d6f6c0fcaaa9,b29e5635-343b-4dd6-9830-05223a48cf26,1774203634696834069,1774203635697076617,,,2027.956,1,11,1,1,200,"{""published"":true,""event_id"":""ba311eed2d4b0d9a0870952dba6aecdd"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:0600a514-d375-4061-abc9-d6f6c0fcaaa9"",""jti:b29e5635-343b-4dd6-9830-05223a48cf26""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,3,user-alice-44903417-dd8b-4200-b74f-9d587e6a9ef7,f2075103-2dd1-48e8-920b-07ab5529ed0c,6281e8ea-8447-435b-b2e9-6913a86db532,1774203637767586707,1774203638767629824,,,2025.246,1,11,1,1,200,"{""published"":true,""event_id"":""403828667120b82d4b7ded94a1a35ae5"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:f2075103-2dd1-48e8-920b-07ab5529ed0c"",""jti:6281e8ea-8447-435b-b2e9-6913a86db532""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,4,user-alice-856910e7-5e8e-47ff-a141-32d7ad7c3621,da85d3cb-35f1-4cb2-a169-652b56ce9a3c,7a975c89-6cdb-43b6-a77e-8ae8b8c9c2cb,1774203640838371835,1774203641838602730,,,2202.83,1,7,1,1,200,"{""published"":true,""event_id"":""558aec3a7984118adb8db33681ecf994"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:da85d3cb-35f1-4cb2-a169-652b56ce9a3c"",""jti:7a975c89-6cdb-43b6-a77e-8ae8b8c9c2cb""]}",13,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,5,user-alice-6b6661d7-c2c1-494e-8455-526013b287b4,a228bfa2-a0be-4392-bf9c-c0408549a563,8ddc39e3-8f65-43d7-b044-82dd2b302419,1774203644085372715,1774203645085455589,,,2023.184,1,11,1,1,200,"{""published"":true,""event_id"":""ff585cdab55f35700905ce857f4d5258"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:a228bfa2-a0be-4392-bf9c-c0408549a563"",""jti:8ddc39e3-8f65-43d7-b044-82dd2b302419""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,6,user-alice-188e5afe-48a3-4859-9626-a9ff3228894c,93209899-ee7c-40bd-bf46-7b83a669729b,144e008e-2cd5-4134-9a36-e2b84f58a0e5,1774203647153184279,1774203648153241111,,,2022.652,1,11,1,1,200,"{""published"":true,""event_id"":""e9b15b50c2c03f8396d55793accb5d7a"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:93209899-ee7c-40bd-bf46-7b83a669729b"",""jti:144e008e-2cd5-4134-9a36-e2b84f58a0e5""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,7,user-alice-0e906203-cf3f-4775-b3aa-c31c1b200357,184be34d-1c13-4515-8745-10bf367d679c,7d8f8aa6-73ab-457c-b836-e76d47a921df,1774203650216976539,1774203651217004597,,,2021.333,1,11,1,1,200,"{""published"":true,""event_id"":""f88c5cae9d6ca5a31bdd95433b73aba5"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:184be34d-1c13-4515-8745-10bf367d679c"",""jti:7d8f8aa6-73ab-457c-b836-e76d47a921df""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,8,user-alice-5a20d435-e409-4920-94a6-765683d591ed,ce65e3af-34df-4270-bcfc-58f6ab5bb86b,80fbb7e6-8ad2-466b-9ff4-0c6c6a03bdf2,1774203653277175681,1774203654277261392,,,2020.414,1,11,1,1,200,"{""published"":true,""event_id"":""461407451d33eef59e24acf6cb38d9e7"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:ce65e3af-34df-4270-bcfc-58f6ab5bb86b"",""jti:80fbb7e6-8ad2-466b-9ff4-0c6c6a03bdf2""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,9,user-alice-cd551730-a4c7-4213-8a7f-405fd94c3f5b,d291cbfd-de70-4ce4-94b0-4b2575da11ef,800b2d26-0553-43e8-b415-5a47d2bcec60,1774203656337026926,1774203657337147349,,,2022.414,1,11,1,1,200,"{""published"":true,""event_id"":""083ae560a3f0f9915af0aaa70e798016"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:d291cbfd-de70-4ce4-94b0-4b2575da11ef"",""jti:800b2d26-0553-43e8-b415-5a47d2bcec60""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,10,user-alice-8ef77fe3-e633-4111-819a-0e2fcaa471a8,527b4183-a69e-415d-abb1-1f248006cce1,efd012c4-e69e-4158-9ea3-4369a17f6bb2,1774203659401942761,1774203660402034282,,,2023.292,1,11,1,1,200,"{""published"":true,""event_id"":""6ecc8d6dec3ed4c8839633aff3eb748d"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:527b4183-a69e-415d-abb1-1f248006cce1"",""jti:efd012c4-e69e-4158-9ea3-4369a17f6bb2""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
