mode,run_id,sub,sid,jti,stream_start_ns,revoke_sent_ns,termination_ns,latency_to_enforce_ms,risk_window_ms,risk_window_ms_censored,risk_window_messages,post_revoke_deny,still_running_after_observe,receiver_status,receiver_body,output_lines,observe_after_revoke_ms,token_issuer,auth_flow,event_match_fields
baseline-ext_authz,1,user-alice-0400c305-a08d-423a-81dc-346ee1757bed,3ac27f45-ebea-4b9e-87c6-281c172759b2,7449f37d-d5f2-4d46-a233-f63c17c7e23f,1774203725073902904,1774203726073948590,,,2034.225,1,41,1,1,200,"{""published"":true,""event_id"":""50007ab438a3d4f4e499299aebf5a975"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:3ac27f45-ebea-4b9e-87c6-281c172759b2"",""jti:7449f37d-d5f2-4d46-a233-f63c17c7e23f""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,2,user-alice-aaa5ccce-290f-48d5-aec6-98c90db6ae21,8b7ea609-4231-40c3-8df0-b8d568e6176d,7caaeedf-ac24-4854-ba6a-4dc8e0071586,1774203728152502384,1774203729152556522,,,2032.112,1,41,1,1,200,"{""published"":true,""event_id"":""de531d68407b47bc03188aedf99f8c8b"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:8b7ea609-4231-40c3-8df0-b8d568e6176d"",""jti:7caaeedf-ac24-4854-ba6a-4dc8e0071586""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,3,user-alice-94cc03cc-75f2-43ad-877a-f46e4bcb1ffb,832847c7-804a-40e5-9f0c-94e8b08ea915,acf137b0-3c7f-4ec3-8f80-db1b795c7ed1,1774203731229306904,1774203732229414510,,,2048.321,1,41,1,1,200,"{""published"":true,""event_id"":""9bea9ecf93702e5c0a0e905754b43458"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:832847c7-804a-40e5-9f0c-94e8b08ea915"",""jti:acf137b0-3c7f-4ec3-8f80-db1b795c7ed1""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,4,user-alice-d173525c-f753-421f-940d-9a68dff44cd3,ab5c8d0e-a2a7-47e9-936b-7c31f97eaace,592ea7f6-32e1-4f51-94e8-86d6c738297b,1774203734323358866,1774203735323407285,,,2044.2,1,41,1,1,200,"{""published"":true,""event_id"":""e143cab901c88baf32b582e2e26543dd"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:ab5c8d0e-a2a7-47e9-936b-7c31f97eaace"",""jti:592ea7f6-32e1-4f51-94e8-86d6c738297b""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,5,user-alice-b9182419-5263-46bf-8658-40f499b87b98,5e150c87-dfed-471e-849d-b50f3bd46507,fda79859-f5ff-463a-a221-2ade59b2e71e,1774203737409912933,1774203738410008649,,,2036.92,1,41,1,1,200,"{""published"":true,""event_id"":""75ce02fe4379f31112d2c61e326264bb"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:5e150c87-dfed-471e-849d-b50f3bd46507"",""jti:fda79859-f5ff-463a-a221-2ade59b2e71e""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,6,user-alice-17941d80-5d10-4180-be84-b3b49925214e,ca2f4253-18c2-4727-82d3-6e413e84adcd,41bb9518-943e-4a8a-ab9b-127bef8c2f03,1774203740489844990,1774203741490082268,,,2100.601,1,23,1,1,200,"{""published"":true,""event_id"":""69120455561b57a0853289b8a7ead98a"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:ca2f4253-18c2-4727-82d3-6e413e84adcd"",""jti:41bb9518-943e-4a8a-ab9b-127bef8c2f03""]}",44,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,7,user-alice-58984846-4cb6-4786-9358-2fbd26cd1e30,adc748ed-c582-40a8-b301-2fb67dab0d18,a08c0756-c784-4985-9e85-6761bba71558,1774203743633282268,1774203744633352208,,,2032.094,1,41,1,1,200,"{""published"":true,""event_id"":""cff697c63bdd863bec972958c6c8fe0c"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:adc748ed-c582-40a8-b301-2fb67dab0d18"",""jti:a08c0756-c784-4985-9e85-6761bba71558""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,8,user-alice-9ddb6cd6-99d8-43da-94a3-c9574345afdc,3d8b2e85-e0c0-492d-b747-ad18bb604575,5a8d3704-ae76-4e5e-a983-fb1adc0d7861,1774203746705848175,1774203747705899269,,,2029.582,1,41,1,1,200,"{""published"":true,""event_id"":""73eabc73d542bd70a8b20f7daf0d298a"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:3d8b2e85-e0c0-492d-b747-ad18bb604575"",""jti:5a8d3704-ae76-4e5e-a983-fb1adc0d7861""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,9,user-alice-f3ed5a47-f128-48cd-9669-5ed1c3daac8e,f05501f5-3d6f-479d-b909-5585ee546d54,001f7041-1a28-4f7a-89bb-e4d8c9290dfe,1774203749776540949,1774203750776568970,,,2029.776,1,41,1,1,200,"{""published"":true,""event_id"":""0e31344e8fd00631c2d9fa841e02fa1d"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:f05501f5-3d6f-479d-b909-5585ee546d54"",""jti:001f7041-1a28-4f7a-89bb-e4d8c9290dfe""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,10,user-alice-0d9412e9-cbe8-4c33-91d4-8c5c0c2070ba,43157a95-8508-42de-892c-c5e1500ad25e,bd427858-1d6f-4ec8-95de-3be3cc732af5,1774203752845809492,1774203753845878691,,,2027.603,1,41,1,1,200,"{""published"":true,""event_id"":""673b87efe772d8e3c1ac797c40f000ca"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:43157a95-8508-42de-892c-c5e1500ad25e"",""jti:bd427858-1d6f-4ec8-95de-3be3cc732af5""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,11,user-alice-f853d050-7d25-4ecd-bbf3-2179a4695d15,747d496b-66ef-477e-ab6b-dcdd1b7fcc3e,25f2d1f4-910c-47e7-8318-4e721b64dbe3,1774203755913014008,1774203756913705012,,,2034.233,1,41,1,1,200,"{""published"":true,""event_id"":""b88544f7e130a6e134f694dc189aef13"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:747d496b-66ef-477e-ab6b-dcdd1b7fcc3e"",""jti:25f2d1f4-910c-47e7-8318-4e721b64dbe3""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,12,user-alice-f78f37bd-a671-4256-bb86-cf5003cea775,9d2f177a-b2ba-47c2-8467-83f9928661c6,f0b7cfd3-7232-4a3c-a107-43799981d823,1774203758988328235,1774203759988416122,,,2031.107,1,41,1,1,200,"{""published"":true,""event_id"":""d66cb9dbc7d980b893281517e19b0648"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:9d2f177a-b2ba-47c2-8467-83f9928661c6"",""jti:f0b7cfd3-7232-4a3c-a107-43799981d823""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,13,user-alice-85981949-b9de-44fa-bc30-e5f1afcb1a54,87b2483e-8680-448f-a2e6-75d774cb2d3a,49c0fa2a-032b-47bd-a1b0-391f080ab3ca,1774203762060898198,1774203763060985853,,,2035.028,1,41,1,1,200,"{""published"":true,""event_id"":""8fcd08e64f1de29da32acbd3ceda4fd2"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:87b2483e-8680-448f-a2e6-75d774cb2d3a"",""jti:49c0fa2a-032b-47bd-a1b0-391f080ab3ca""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,14,user-alice-dcc5c236-e3ee-4296-80ba-ee1a209d3f6c,31f26847-72d7-412e-92f7-068ce5926bee,b5476204-5c13-4ae8-bae9-64d3b8546496,1774203765140078025,1774203766140298828,,,2042.383,1,41,1,1,200,"{""published"":true,""event_id"":""95e72365e7051334f939ef1b98398382"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:31f26847-72d7-412e-92f7-068ce5926bee"",""jti:b5476204-5c13-4ae8-bae9-64d3b8546496""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,15,user-alice-845aa899-a4c6-42e3-8bf2-a790d3d0d238,8c70ba8b-1e70-4a76-b353-35178840c49e,a078e9af-70b5-43a0-9461-a36e86d83856,1774203768223684126,1774203769223791330,,,2030.804,1,41,1,1,200,"{""published"":true,""event_id"":""e8646bc62c343a0da3a526403fae0aad"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:8c70ba8b-1e70-4a76-b353-35178840c49e"",""jti:a078e9af-70b5-43a0-9461-a36e86d83856""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,16,user-alice-7b9c5b36-4cfd-4f46-bf7d-f077406d84df,b79b80ac-25b1-4899-8c0d-d3df742d1622,2915f93c-e3d7-48a7-a057-98d28b2a933a,1774203771294963777,1774203772295512999,,,2041.411,1,41,1,1,200,"{""published"":true,""event_id"":""14fd489b8d61c15b3540ef1a5fac21b3"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:b79b80ac-25b1-4899-8c0d-d3df742d1622"",""jti:2915f93c-e3d7-48a7-a057-98d28b2a933a""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-ext_authz,17,user-alice-11f27a10-a3aa-4de9-8760-f977bce4a61c,b4091736-2b53-45ed-9ff9-59c0eab6936f,63fec32d-4bc4-40c2-b615-f60e38f0e255,1774203774379971416,1774203775380232257,,,2031.737,1,22,1,1,200,"{""published"":true,""event_id"":""6056f589f7fd3552ca356d42ddac53f4"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:b4091736-2b53-45ed-9ff9-59c0eab6936f"",""jti:63fec32d-4bc4-40c2-b615-f60e38f0e255""]}",43,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
