mode,run_id,sub,sid,jti,stream_start_ns,revoke_sent_ns,termination_ns,latency_to_enforce_ms,risk_window_ms,risk_window_ms_censored,risk_window_messages,post_revoke_deny,still_running_after_observe,receiver_status,receiver_body,output_lines,observe_after_revoke_ms,token_issuer,auth_flow,event_match_fields
baseline-istio-custom,1,user-alice-da88e0b2-022d-4e78-a07d-31b8b68cfe91,81789a15-9e15-4580-be81-ee44e891185e,6ecd2ef0-31ec-47be-9034-e918743d0a8d,1774203276288443343,1774203277288543868,,,2033.228,1,41,1,1,200,"{""published"":true,""event_id"":""60ead28acdf854fda701b14bcbc208b6"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:81789a15-9e15-4580-be81-ee44e891185e"",""jti:6ecd2ef0-31ec-47be-9034-e918743d0a8d""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-istio-custom,2,user-alice-c3fafb1d-297a-40e9-916f-293fff9f40a9,744cf7c1-6d99-4921-9afc-abed44cc4d2b,5172cf93-1ffd-4d56-a324-c922efad30ca,1774203279383909167,1774203280383991888,,,2036.606,1,41,1,1,200,"{""published"":true,""event_id"":""0305b8682063ad0f04f562b32d4814e1"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:744cf7c1-6d99-4921-9afc-abed44cc4d2b"",""jti:5172cf93-1ffd-4d56-a324-c922efad30ca""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-istio-custom,3,user-alice-3058f706-f1af-4b0c-880d-cc7a1403ef46,94eed8ed-53a2-416f-81f1-f70b5f2488e7,e1ffcb58-3033-4399-aead-bdacacaaad2b,1774203282465399166,1774203283465477500,,,2036.589,1,41,1,1,200,"{""published"":true,""event_id"":""99cb9306085aa3daaa408cc83020a072"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:94eed8ed-53a2-416f-81f1-f70b5f2488e7"",""jti:e1ffcb58-3033-4399-aead-bdacacaaad2b""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-istio-custom,4,user-alice-cba05ff8-720d-4c9d-b686-999ae0e1fc8f,87635d70-927f-4697-8bbd-eb31f4d0c853,f2cd373a-d5bb-4328-ae6e-6b6304ffa1a9,1774203285551417088,1774203286551499062,,,2036.238,1,41,1,1,200,"{""published"":true,""event_id"":""b2555565b70191d7abdbb11af4b8e680"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:87635d70-927f-4697-8bbd-eb31f4d0c853"",""jti:f2cd373a-d5bb-4328-ae6e-6b6304ffa1a9""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-istio-custom,5,user-alice-3cb76721-e9e1-494d-9fdd-bba31d699158,6b795a73-ff3b-40a8-ac2d-cc6c0cc6114c,a8782e36-c2d1-4141-a544-da84517d64d4,1774203288638812094,1774203289638877757,,,2038.445,1,41,1,1,200,"{""published"":true,""event_id"":""606f7e538a4aef487a02a195e5c6a29d"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:6b795a73-ff3b-40a8-ac2d-cc6c0cc6114c"",""jti:a8782e36-c2d1-4141-a544-da84517d64d4""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-istio-custom,6,user-alice-6f9c3021-61f4-4d88-8e70-f08278131ac3,cc994755-5349-49d8-bf35-9ad07baa8e33,5067dc55-1532-4492-8259-18824afed29c,1774203291717998466,1774203292718076570,,,2031.66,1,41,1,1,200,"{""published"":true,""event_id"":""5c77bc9d3df309c96fa8fc793318efd1"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:cc994755-5349-49d8-bf35-9ad07baa8e33"",""jti:5067dc55-1532-4492-8259-18824afed29c""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-istio-custom,7,user-alice-0830d001-cc86-4ebb-b741-40d56c7a6645,5b5e5ae1-b545-474a-a465-080c820e6e52,f055a8d1-efec-4dba-b5be-8a72fb4761e5,1774203294789158120,1774203295789214815,,,2030.696,1,41,1,1,200,"{""published"":true,""event_id"":""5a8b37c4b283cd71622da135f578413c"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:5b5e5ae1-b545-474a-a465-080c820e6e52"",""jti:f055a8d1-efec-4dba-b5be-8a72fb4761e5""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-istio-custom,8,user-alice-c745db83-ec94-4093-96fb-f5184317dfb7,f1e520a4-cbe1-47b3-b4f8-027780c1ecdd,000d7436-ccaf-4216-a819-dd76ae1b4c4b,1774203297858704059,1774203298858791514,,,2030.253,1,41,1,1,200,"{""published"":true,""event_id"":""8bf09204436bb2988d3d0ddf79519bf3"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:f1e520a4-cbe1-47b3-b4f8-027780c1ecdd"",""jti:000d7436-ccaf-4216-a819-dd76ae1b4c4b""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-istio-custom,9,user-alice-e85c9fb5-e276-4de4-9902-5c1793238bdf,1b606342-f1ac-4460-abbe-059c63806017,3105d98c-8566-4946-b6de-b4cb787ac52a,1774203300929039516,1774203301929131351,,,2029.578,1,41,1,1,200,"{""published"":true,""event_id"":""233fe251caec031fd1b4a7afde88ce4d"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:1b606342-f1ac-4460-abbe-059c63806017"",""jti:3105d98c-8566-4946-b6de-b4cb787ac52a""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-istio-custom,10,user-alice-07b68f5a-3930-48c7-8fbc-d4356d14fbea,d11a6a1e-44ae-4127-9250-5e9ce1d24e60,a9989ceb-2ae2-4112-ac38-8e7b3d74cd7d,1774203303998157529,1774203304998240431,,,2030.549,1,41,1,1,200,"{""published"":true,""event_id"":""3556473b7c5cc4d311ddbe2cd4176ccf"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:d11a6a1e-44ae-4127-9250-5e9ce1d24e60"",""jti:a9989ceb-2ae2-4112-ac38-8e7b3d74cd7d""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
