mode,run_id,sub,sid,jti,stream_start_ns,revoke_sent_ns,termination_ns,latency_to_enforce_ms,risk_window_ms,risk_window_ms_censored,risk_window_messages,post_revoke_deny,still_running_after_observe,receiver_status,receiver_body,output_lines,observe_after_revoke_ms,token_issuer,auth_flow,event_match_fields
baseline-openfga,1,user-alice-4511b865-ce15-475f-a719-3cfa25549b2e,3d9cf2b6-6550-4268-8aaa-8fbb6aaf709a,5fdc183e-596b-4fe2-9d8e-3b6d21aab446,1774204111917143136,1774204112917240565,,,2013.536,1,198,1,1,200,"{""published"":true,""event_id"":""b28d4259d4b6429953cefffde75f4e07"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:3d9cf2b6-6550-4268-8aaa-8fbb6aaf709a"",""jti:5fdc183e-596b-4fe2-9d8e-3b6d21aab446""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,2,user-alice-b95b75bc-fb04-4d0c-85a8-a981e94215bc,c8df58cb-b96f-4151-ad1c-0e37294fa536,877e60a3-db2b-4363-a5d6-74554ec8b9bb,1774204114975460668,1774204115975516600,,,2015.119,1,198,1,1,200,"{""published"":true,""event_id"":""32cc6510d1205f2ace388dac28aa9e70"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:c8df58cb-b96f-4151-ad1c-0e37294fa536"",""jti:877e60a3-db2b-4363-a5d6-74554ec8b9bb""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,3,user-alice-3b9e0e13-3e84-4161-ac98-e5e302e5f52c,dab34c54-1581-49b0-9f00-86489095d25a,68b904f9-6991-4dce-9805-065ae3d3e5c7,1774204118034197345,1774204119034296328,,,2013.32,1,198,1,1,200,"{""published"":true,""event_id"":""a24fb76cdc15fbc8f521dc02ce1be669"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:dab34c54-1581-49b0-9f00-86489095d25a"",""jti:68b904f9-6991-4dce-9805-065ae3d3e5c7""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,4,user-alice-c90c1b7c-14e7-4021-b3ad-512f7a0e85f8,3211c034-89cd-4264-b00c-6e85e6a9473e,c932224a-1671-4a3f-87cf-33abf4cfdb7a,1774204121092249832,1774204122092272707,,,2013.442,1,198,1,1,200,"{""published"":true,""event_id"":""c0a3f5965b2825a8e77676aef8fcf80f"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:3211c034-89cd-4264-b00c-6e85e6a9473e"",""jti:c932224a-1671-4a3f-87cf-33abf4cfdb7a""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,5,user-alice-2aee1042-9eaa-4df3-a03a-09918441be84,a6a24975-c9ae-40b0-b525-e1cfd057d65d,b65c6612-c3a4-44dc-946c-7a1747c1eb05,1774204124150522554,1774204125150604649,,,2011.8,1,198,1,1,200,"{""published"":true,""event_id"":""1337d78b1f4ebf092376b7e5e492584d"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:a6a24975-c9ae-40b0-b525-e1cfd057d65d"",""jti:b65c6612-c3a4-44dc-946c-7a1747c1eb05""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,6,user-alice-a4015257-ce02-4373-b8b7-9db03cf78e65,73ac33de-36b9-4d25-8228-b40200e932eb,5d18edfd-89df-45f2-9edc-66de49fc9ffd,1774204127206749980,1774204128206841526,,,2011.106,1,198,1,1,200,"{""published"":true,""event_id"":""f4daf8a03d52472a9b3911b499372895"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:73ac33de-36b9-4d25-8228-b40200e932eb"",""jti:5d18edfd-89df-45f2-9edc-66de49fc9ffd""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,7,user-alice-ba208f3e-fa2d-432a-9370-73d48bd9b0ba,3ef902ef-8d6d-4ee7-bee1-e24c2f08c441,5b73722e-cad2-4d69-b188-21a8c6eacd9f,1774204130261774961,1774204131261862646,,,2012.845,1,198,1,1,200,"{""published"":true,""event_id"":""244ca55a1727b86a75ade244d89930cc"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:3ef902ef-8d6d-4ee7-bee1-e24c2f08c441"",""jti:5b73722e-cad2-4d69-b188-21a8c6eacd9f""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,8,user-alice-d7a7630f-aeeb-4dd0-af97-d83356bb23b4,bb07978e-2771-4e3b-967b-51cd5fddca95,3253189d-a7b3-4a21-824c-7c4bb7135f64,1774204133320567825,1774204134320637022,,,2014.074,1,198,1,1,200,"{""published"":true,""event_id"":""aa9cbfbcdfe829d761154de47e2e7bc9"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:bb07978e-2771-4e3b-967b-51cd5fddca95"",""jti:3253189d-a7b3-4a21-824c-7c4bb7135f64""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,9,user-alice-57d2a06c-1ffa-4cfd-80b8-f07209751b93,0327d6a4-a927-4076-a0e7-e764bad3d34d,c5b049e1-8b2a-469f-be3f-96f7297ab9b9,1774204136376733546,1774204137376809154,,,2018.234,1,198,1,1,200,"{""published"":true,""event_id"":""7aa8fa87c7aa3708f59f02f3b8346ecc"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:0327d6a4-a927-4076-a0e7-e764bad3d34d"",""jti:c5b049e1-8b2a-469f-be3f-96f7297ab9b9""]}",296,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,10,user-alice-284175f4-14c2-4ed4-a579-ff2658b7e0ba,08b36d9e-981f-4122-95c1-ef62d67faacf,1735fb35-d9ae-47ba-9f0a-615829363e83,1774204139439152684,1774204141148107104,,,2018.343,1,197,1,1,200,"{""published"":true,""event_id"":""6db5d7918d6c33881681a5f204762856"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:08b36d9e-981f-4122-95c1-ef62d67faacf"",""jti:1735fb35-d9ae-47ba-9f0a-615829363e83""]}",294,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
