mode,run_id,sub,sid,jti,stream_start_ns,revoke_sent_ns,termination_ns,latency_to_enforce_ms,risk_window_ms,risk_window_ms_censored,risk_window_messages,post_revoke_deny,still_running_after_observe,receiver_status,receiver_body,output_lines,observe_after_revoke_ms,token_issuer,auth_flow,event_match_fields
baseline-openfga,1,user-alice-ad574f36-f6aa-442a-a2fd-63e3fe8f21ce,4c53cb26-e26a-4667-bd62-5bda94132482,54b84bde-c0ce-47dc-92c9-840ea17088b7,1774203925995423748,1774203926995515727,,,2025.467,1,11,1,1,200,"{""published"":true,""event_id"":""94e6e6982aad22fa337e88823d5e68fe"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:4c53cb26-e26a-4667-bd62-5bda94132482"",""jti:54b84bde-c0ce-47dc-92c9-840ea17088b7""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,2,user-alice-2abfdc66-303c-4f30-adcc-0810f82ea55a,b4017f18-c1dc-470d-9142-09989a0266c3,eea8137b-d1ad-40d3-86fd-10f4a550b4f0,1774203929066554617,1774203930066859812,,,2029.682,1,11,1,1,200,"{""published"":true,""event_id"":""95efce5ccf48d6c4b684f8ab40375fd0"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:b4017f18-c1dc-470d-9142-09989a0266c3"",""jti:eea8137b-d1ad-40d3-86fd-10f4a550b4f0""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,3,user-alice-0bee6a52-9962-4e50-9ded-6db646d8d02d,6b521a99-7ea9-4e96-8573-a6cbd2ae19c8,cf3aa972-a8f0-4dcd-8547-29e721c0ec5f,1774203932143740821,1774203933143832943,,,2025.802,1,11,1,1,200,"{""published"":true,""event_id"":""0c542a33b1823bb1086cc3650e1dcaaa"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:6b521a99-7ea9-4e96-8573-a6cbd2ae19c8"",""jti:cf3aa972-a8f0-4dcd-8547-29e721c0ec5f""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,4,user-alice-bb53ef9e-73d3-4410-8631-7e3a05cc4821,eebf586d-618e-4d8b-8071-ce6954c42248,2cc75077-d74e-44e7-8b58-d783782ecb4b,1774203935213902656,1774203936213993080,,,2027.558,1,11,1,1,200,"{""published"":true,""event_id"":""d53645647b7968f0036fd08b587e4b47"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:eebf586d-618e-4d8b-8071-ce6954c42248"",""jti:2cc75077-d74e-44e7-8b58-d783782ecb4b""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,5,user-alice-f13c0e2a-42e9-4416-80bd-3eda02d9af4b,199cfdf4-e252-458b-aec8-65ada306cd15,e7cc95c0-9d1e-4c00-9b1f-d3fa8fa416b1,1774203938288945701,1774203939289053946,,,2031.994,1,11,1,1,200,"{""published"":true,""event_id"":""b0d695670cbfdde7ea4453c4ca403592"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:199cfdf4-e252-458b-aec8-65ada306cd15"",""jti:e7cc95c0-9d1e-4c00-9b1f-d3fa8fa416b1""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,6,user-alice-7dd10d66-cf81-4050-80c4-6ab3b169150c,01f3f9da-f3d9-4b74-bf46-a9358ad148f9,09adb44e-f4e4-4bab-84db-bd57fe1f9c92,1774203941369893653,1774203943373503312,,,2028.95,1,11,1,1,200,"{""published"":true,""event_id"":""eac9d95e860fa6b4443a170a40796f5b"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:01f3f9da-f3d9-4b74-bf46-a9358ad148f9"",""jti:09adb44e-f4e4-4bab-84db-bd57fe1f9c92""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,7,user-alice-2ae90c28-005d-44f5-b88f-6d4de8702277,44e34072-2778-4b53-b8d5-afaa2fedb352,65606bcc-0779-439e-bc23-1539755bb115,1774203945445205709,1774203946445264137,,,2023.151,1,11,1,1,200,"{""published"":true,""event_id"":""ba964c495af145a2296be723027b48f4"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:44e34072-2778-4b53-b8d5-afaa2fedb352"",""jti:65606bcc-0779-439e-bc23-1539755bb115""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,8,user-alice-5a38fa5f-4acf-4f6e-be2f-18467cdb97a3,c19d1929-7b26-464f-baa4-cd3a9121fe07,2b66f9c1-5a49-4015-b4e1-3c6dcae9ce57,1774203948508439053,1774203949508519789,,,2021.688,1,11,1,1,200,"{""published"":true,""event_id"":""f614fd365abd16015d656bc95ad33a24"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:c19d1929-7b26-464f-baa4-cd3a9121fe07"",""jti:2b66f9c1-5a49-4015-b4e1-3c6dcae9ce57""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,9,user-alice-2420ae85-67e3-47c7-8290-5b820be3c18a,b362c73e-5417-4a8d-b315-9639b88486e9,11867b43-8bcd-4e19-92a6-1fc079975ef6,1774203951573764292,1774203952573841123,,,2023.5,1,11,1,1,200,"{""published"":true,""event_id"":""2927c91bce695f3fe194ca8b6b000f74"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:b362c73e-5417-4a8d-b315-9639b88486e9"",""jti:11867b43-8bcd-4e19-92a6-1fc079975ef6""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,10,user-alice-f5eb5f4d-1308-4cff-b495-261245908beb,748e4d21-1da1-46c0-955c-3f4f2bdb9273,10d2167f-dbe3-44a4-b19c-37225817ffb2,1774203954640718089,1774203955640801181,,,2025.217,1,11,1,1,200,"{""published"":true,""event_id"":""274e3273ee6cfd502ef3c65ba9485534"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:748e4d21-1da1-46c0-955c-3f4f2bdb9273"",""jti:10d2167f-dbe3-44a4-b19c-37225817ffb2""]}",17,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
