mode,run_id,sub,sid,jti,stream_start_ns,revoke_sent_ns,termination_ns,latency_to_enforce_ms,risk_window_ms,risk_window_ms_censored,risk_window_messages,post_revoke_deny,still_running_after_observe,receiver_status,receiver_body,output_lines,observe_after_revoke_ms,token_issuer,auth_flow,event_match_fields
baseline-openfga,1,user-alice-69373ed3-269f-4edd-a425-1091f720bca3,c497f27b-6b56-42b7-8986-f2cc24137372,6132c777-3426-4d52-a4a4-494dd12660b1,1774204019457412077,1774204020457668886,,,2048.439,1,41,1,1,200,"{""published"":true,""event_id"":""35b96b7d9fda9fdf260c1f757adfb14c"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:c497f27b-6b56-42b7-8986-f2cc24137372"",""jti:6132c777-3426-4d52-a4a4-494dd12660b1""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,2,user-alice-faace117-c6ea-4c18-bade-2fad547c6d1a,076d1922-8ca5-490a-a1df-297814bbad5f,f2247a9e-226b-4161-8bdb-f9ab36600c77,1774204022554237589,1774204023554406890,,,2051.423,1,41,1,1,200,"{""published"":true,""event_id"":""683d9bef6b8473e7ee7c5dc30122d0bc"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:076d1922-8ca5-490a-a1df-297814bbad5f"",""jti:f2247a9e-226b-4161-8bdb-f9ab36600c77""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,3,user-alice-5444f685-1ddd-4248-b5bb-bc6ce474a306,f8213e4f-02d6-4b83-89b6-782c4ff0adfc,293219ed-dcb8-4080-8939-66277d4f070b,1774204025651116091,1774204026651277457,,,2050.76,1,41,1,1,200,"{""published"":true,""event_id"":""5084f6e05f494561a93ac88935f16b00"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:f8213e4f-02d6-4b83-89b6-782c4ff0adfc"",""jti:293219ed-dcb8-4080-8939-66277d4f070b""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,4,user-alice-11d959e3-459a-4592-a981-ee889e44272b,cb3a1340-4342-4a35-ba7c-633624704808,a33b20e3-f52c-4cd2-944e-6d3f3ddef482,1774204028746215842,1774204029746314407,,,2035.21,1,41,1,1,200,"{""published"":true,""event_id"":""60b84ee960f64bdf4d172f5a0329f0a5"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:cb3a1340-4342-4a35-ba7c-633624704808"",""jti:a33b20e3-f52c-4cd2-944e-6d3f3ddef482""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,5,user-alice-c29ae6d0-b320-4276-b886-36707815240c,7d9f2731-dfe3-4f32-af07-43029cdc9567,09094234-e543-4cf0-ad37-a8488e560bba,1774204031827129805,1774204032827234161,,,2037.066,1,41,1,1,200,"{""published"":true,""event_id"":""56d5eba60be00a1a78fd67a47c2eceda"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:7d9f2731-dfe3-4f32-af07-43029cdc9567"",""jti:09094234-e543-4cf0-ad37-a8488e560bba""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,6,user-alice-c674a7c5-89d1-462d-8d4c-03e6ea6be531,148c0f67-79b7-45da-b30d-ed206bbf5982,c4f1af25-7298-471c-8b69-0e28148782ce,1774204034910161536,1774204035910267261,,,2038.186,1,41,1,1,200,"{""published"":true,""event_id"":""324f9a31b1e8af4dc2f3064a3b623b41"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:148c0f67-79b7-45da-b30d-ed206bbf5982"",""jti:c4f1af25-7298-471c-8b69-0e28148782ce""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,7,user-alice-d6a8b977-ebfe-4f40-af04-1c6c255e5c3f,4d18c121-4e80-4833-93df-99fca364b04c,f3be1cc5-9700-47e9-80d6-bc90a5de916d,1774204037991384908,1774204038991477781,,,2035.514,1,41,1,1,200,"{""published"":true,""event_id"":""3be2c176990b9f57c26fd6309bff15f0"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:4d18c121-4e80-4833-93df-99fca364b04c"",""jti:f3be1cc5-9700-47e9-80d6-bc90a5de916d""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,8,user-alice-7a82162b-657c-45a9-9073-dfd90fac222c,8140c5e3-dd08-4ecf-9f9f-3d3f9298fe02,db703e60-d4a6-4120-81c2-58d3d7bb1bc4,1774204041070277075,1774204042070339559,,,2033.718,1,41,1,1,200,"{""published"":true,""event_id"":""7c29ba42bfd105b3c4030a00568c7e46"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:8140c5e3-dd08-4ecf-9f9f-3d3f9298fe02"",""jti:db703e60-d4a6-4120-81c2-58d3d7bb1bc4""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,9,user-alice-a7ab8110-ca93-4883-a78c-d03fbcc36ccb,19e572cd-9434-4ad5-94eb-723e8ec61364,155c51af-f2b4-4fad-95c5-7881991b44c1,1774204044146309797,1774204045146378288,,,2031.646,1,41,1,1,200,"{""published"":true,""event_id"":""2c7fdde1f323c2bd49ec6af8a009c978"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:19e572cd-9434-4ad5-94eb-723e8ec61364"",""jti:155c51af-f2b4-4fad-95c5-7881991b44c1""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
baseline-openfga,10,user-alice-e13b0e95-c46b-4a76-a678-145e0f87b650,ff42aab9-ff2a-48b1-a28f-a4ee179275f6,e14386a8-5ecd-46a8-b541-53833ab5de7f,1774204047218388619,1774204048218489243,,,2032.3,1,41,1,1,200,"{""published"":true,""event_id"":""6244d9366b2c58843783156f54670b23"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:ff42aab9-ff2a-48b1-a28f-a4ee179275f6"",""jti:e14386a8-5ecd-46a8-b541-53833ab5de7f""]}",62,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
