mode,run_id,sub,sid,jti,stream_start_ns,revoke_sent_ns,termination_ns,latency_to_enforce_ms,risk_window_ms,risk_window_ms_censored,risk_window_messages,post_revoke_deny,still_running_after_observe,receiver_status,receiver_body,output_lines,observe_after_revoke_ms,token_issuer,auth_flow,event_match_fields
reactive,1,user-alice-999e8695-228a-4dac-aa9a-0c7639fafa67,ad070288-d47f-4ee4-8273-af2b540e4585,6d7878c6-f549-4144-9cbb-fcd9931203e6,1774203576220615906,1774203578330061630,1774203578586442424,256.381,256.381,0,0,1,0,200,"{""published"":true,""event_id"":""d9f402f5d859390e43bb8d6309077639"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:ad070288-d47f-4ee4-8273-af2b540e4585"",""jti:6d7878c6-f549-4144-9cbb-fcd9931203e6""]}",98,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,2,user-alice-e6e5a34a-eb6f-4eae-8643-1acae7546c36,f2cbe6e2-81a6-40a1-b3e6-3bb7ab21de68,21a116e9-a783-4f22-9ce7-a856c2ee001e,1774203578619421796,1774203579619504025,1774203579875723268,256.219,256.219,0,1,1,0,200,"{""published"":true,""event_id"":""931d1bcec29a37fcb737d31805a13f25"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:f2cbe6e2-81a6-40a1-b3e6-3bb7ab21de68"",""jti:21a116e9-a783-4f22-9ce7-a856c2ee001e""]}",100,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,3,user-alice-6820aa97-372c-43dd-8345-d16e4ea2bc45,2ba73e34-fcdf-45e2-8483-26425c73af26,73b20d30-4b24-49a7-96cc-4f1c99acdd66,1774203579908827706,1774203580908866832,1774203581165396235,256.529,256.529,0,1,1,0,200,"{""published"":true,""event_id"":""bf3d449e4ac8746fcce9ecce7e447c52"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:2ba73e34-fcdf-45e2-8483-26425c73af26"",""jti:73b20d30-4b24-49a7-96cc-4f1c99acdd66""]}",100,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,4,user-alice-c0805782-4e0f-44e0-92ab-66bae749637c,d4708669-ecdc-4876-9059-8a996f5ca0f6,b2309410-0a8c-44a1-b096-aa3f09947183,1774203581198413148,1774203582198514586,1774203582454991465,256.477,256.477,0,1,1,0,200,"{""published"":true,""event_id"":""809285d58731d20eda7781457bb392f8"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:d4708669-ecdc-4876-9059-8a996f5ca0f6"",""jti:b2309410-0a8c-44a1-b096-aa3f09947183""]}",100,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,5,user-alice-3a7a9c9f-34ac-4552-8ed2-c6098fb2bb82,28bb3569-d174-4082-a251-7fef81871425,0b6f2946-032c-42b2-8d5a-ce271ca77076,1774203582488115843,1774203583488178014,1774203583744362161,256.184,256.184,0,1,1,0,200,"{""published"":true,""event_id"":""e86ad4c130ebb8ad3f2ee482ad06f7f5"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:28bb3569-d174-4082-a251-7fef81871425"",""jti:0b6f2946-032c-42b2-8d5a-ce271ca77076""]}",100,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,6,user-alice-71d89461-8192-4a80-8a59-7b9c997f51b2,48581a31-09ad-488b-a230-96ebfcfe5ed7,8e258f63-98e7-40fd-88a7-b435fa0e5285,1774203583779026185,1774203584779111223,1774203585035475321,256.364,256.364,0,1,1,0,200,"{""published"":true,""event_id"":""9e354f20ac295925472415bf65d16ace"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:48581a31-09ad-488b-a230-96ebfcfe5ed7"",""jti:8e258f63-98e7-40fd-88a7-b435fa0e5285""]}",100,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,7,user-alice-94446960-8f39-4fdd-8c00-978f0aeb26f2,bc94cff3-067d-4780-9e21-0c9de826d24d,ba58e03a-1ce8-49dc-8ec4-2e8d141f2759,1774203585067630635,1774203586067724508,1774203586323736917,256.012,256.012,0,1,1,0,200,"{""published"":true,""event_id"":""8fe69da157e29dadf2d3ee1306f41e61"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:bc94cff3-067d-4780-9e21-0c9de826d24d"",""jti:ba58e03a-1ce8-49dc-8ec4-2e8d141f2759""]}",100,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,8,user-alice-2567967f-dd4c-48c5-97a1-a9e1897f6b3d,c73491a9-d3ea-418e-80e0-f0d5aa9ee9a0,0e57b10c-1bdc-4132-8375-9dd1ae776bb3,1774203586354390521,1774203587354417997,1774203587610275952,255.858,255.858,0,1,1,0,200,"{""published"":true,""event_id"":""2e3e54480e7535becc3d4737c3445816"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:c73491a9-d3ea-418e-80e0-f0d5aa9ee9a0"",""jti:0e57b10c-1bdc-4132-8375-9dd1ae776bb3""]}",100,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,9,user-alice-4b1d059b-cf8b-4008-95e9-f998a3e6ecb6,ed0667c8-9ad3-422f-9178-4d4588c3b01f,fde65c85-27f5-4613-b838-5ccadb32b3a0,1774203587643375544,1774203588643442202,1774203588899821538,256.379,256.379,0,1,1,0,200,"{""published"":true,""event_id"":""02075a894961802465423f3938a3f3a4"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:ed0667c8-9ad3-422f-9178-4d4588c3b01f"",""jti:fde65c85-27f5-4613-b838-5ccadb32b3a0""]}",100,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,10,user-alice-0b80fcff-fcee-43ca-8b2b-bf1c109fe510,efc2c9e0-4bb7-44c0-baa3-7ae8564dcda3,429487bb-0b32-402d-b63f-b337df3860f9,1774203588932944703,1774203589932998078,1774203590188971097,255.973,255.973,0,1,1,0,200,"{""published"":true,""event_id"":""ee9f31eac103648b889d9897346ab106"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:efc2c9e0-4bb7-44c0-baa3-7ae8564dcda3"",""jti:429487bb-0b32-402d-b63f-b337df3860f9""]}",100,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,11,user-alice-b2532509-9e05-4951-92fd-33276584f47b,a229647f-4ad6-404e-9fe2-035b40a57a29,593d986c-a659-446c-893c-b4ac3807973b,1774203590220675022,1774203591220772890,1774203591477123205,256.35,256.35,0,1,1,0,200,"{""published"":true,""event_id"":""a58acdbca26495c28f9de8f24593bdd6"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:a229647f-4ad6-404e-9fe2-035b40a57a29"",""jti:593d986c-a659-446c-893c-b4ac3807973b""]}",100,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
