mode,run_id,sub,sid,jti,stream_start_ns,revoke_sent_ns,termination_ns,latency_to_enforce_ms,risk_window_ms,risk_window_ms_censored,risk_window_messages,post_revoke_deny,still_running_after_observe,receiver_status,receiver_body,output_lines,observe_after_revoke_ms,token_issuer,auth_flow,event_match_fields
reactive,1,user-alice-061a8137-edef-47b8-97e9-46ae97fe2393,be39ede5-d2b4-41b3-ba07-5fe0daac48af,d9bde9bb-205c-4014-9d5f-909700d713ab,1774203496051523745,1774203497051620645,1774203497308941206,257.321,257.321,0,0,1,0,200,"{""published"":true,""event_id"":""e7ff741187cd515576c3366fe0405968"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:be39ede5-d2b4-41b3-ba07-5fe0daac48af"",""jti:d9bde9bb-205c-4014-9d5f-909700d713ab""]}",7,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,2,user-alice-d566aa58-452c-4b34-aaaa-2ec2cb652833,9cec0ac7-f3ee-4cd5-a13e-7b9905a6ffaa,c8358c67-f6e4-47a1-87b4-21ea36abaf13,1774203497342814382,1774203498342898940,1774203498599786860,256.888,256.888,0,0,1,0,200,"{""published"":true,""event_id"":""c6a82f5a38c4c6c0e59f11ebb1eaa94f"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:9cec0ac7-f3ee-4cd5-a13e-7b9905a6ffaa"",""jti:c8358c67-f6e4-47a1-87b4-21ea36abaf13""]}",7,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,3,user-alice-5f0ebfd2-e2d7-4d6a-8eca-3a31cda97f71,2382cbe7-166d-498a-8d3d-c777c940db54,b741872e-9591-4154-8b1f-045ef395689f,1774203498633830937,1774203499633914738,1774203499890754766,256.84,256.84,0,0,1,0,200,"{""published"":true,""event_id"":""8634772a2383249dedce4841651f455e"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:2382cbe7-166d-498a-8d3d-c777c940db54"",""jti:b741872e-9591-4154-8b1f-045ef395689f""]}",7,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,4,user-alice-836f70f3-0cdf-4d29-882c-f622725f34ab,d8a95177-1047-4985-849e-0443c2c3db1e,a6a0269f-534c-411c-ae8a-b4e96f87c48d,1774203499927037658,1774203500927121557,1774203501184430823,257.309,257.309,0,0,1,0,200,"{""published"":true,""event_id"":""0d95802132d0049b32c1c194893ee495"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:d8a95177-1047-4985-849e-0443c2c3db1e"",""jti:a6a0269f-534c-411c-ae8a-b4e96f87c48d""]}",7,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,5,user-alice-cdb50d68-f31d-410c-b59f-0f77a7fc4898,9990dcf9-b32f-441b-8c5f-c3602b2e0c1d,b51ffb26-a9d8-4d99-8d14-8b2879c8ff8b,1774203501217169885,1774203502217211067,1774203502474278976,257.068,257.068,0,0,1,0,200,"{""published"":true,""event_id"":""3ab9601db81d93f3f3ffad4ffd3c7423"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:9990dcf9-b32f-441b-8c5f-c3602b2e0c1d"",""jti:b51ffb26-a9d8-4d99-8d14-8b2879c8ff8b""]}",7,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,6,user-alice-ad6beb11-ba36-496f-bae0-ecbd953c9464,f3f79728-5475-40c3-8f68-c422084a327d,2b0c6ab8-f5ca-4d54-9803-b23807e9c75d,1774203502509386720,1774203503509485423,1774203503766322298,256.837,256.837,0,0,1,0,200,"{""published"":true,""event_id"":""dfb12183af10ddd298a502010d9962c2"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:f3f79728-5475-40c3-8f68-c422084a327d"",""jti:2b0c6ab8-f5ca-4d54-9803-b23807e9c75d""]}",7,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,7,user-alice-664e71ef-1ddb-4145-b6d8-ac01648c1f65,2d4d5971-9253-4490-9420-c9009b002f6e,e5d4facd-1fa1-450b-92ea-d74c45194e5b,1774203503799345244,1774203504799431586,1774203505056078215,256.647,256.647,0,0,1,0,200,"{""published"":true,""event_id"":""4fb877a27989a1899bc7203f09a9fa6b"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:2d4d5971-9253-4490-9420-c9009b002f6e"",""jti:e5d4facd-1fa1-450b-92ea-d74c45194e5b""]}",7,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,8,user-alice-fd428fd2-98b5-4b59-9c84-f315664c14d5,b0847261-06c1-4a4e-954e-781af177bcee,c2afd1a8-a796-470b-b9ff-1a95054320e8,1774203505089091590,1774203506089185573,1774203506345872090,256.687,256.687,0,0,1,0,200,"{""published"":true,""event_id"":""438e8a775665dc1087baf7d3fa8daf99"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:b0847261-06c1-4a4e-954e-781af177bcee"",""jti:c2afd1a8-a796-470b-b9ff-1a95054320e8""]}",7,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,9,user-alice-6473ba9b-8248-43e6-adeb-ed4d0ec1e467,74b0bff6-91b4-4776-b446-579637c992d7,a0bf9d12-0a6d-473f-b4ce-e7f44055825b,1774203506381507775,1774203507381625020,1774203507638163263,256.538,256.538,0,0,1,0,200,"{""published"":true,""event_id"":""51d5ae90f99bc7f11c1eaa7e7d31a3d0"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:74b0bff6-91b4-4776-b446-579637c992d7"",""jti:a0bf9d12-0a6d-473f-b4ce-e7f44055825b""]}",7,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,10,user-alice-a772b045-cc71-4c05-9a73-99ad425ee5fa,779395b5-32e2-4e74-bde0-b0e38bdede95,d70fb2d8-5213-4666-98bf-6b1c801b0bd2,1774203507673005327,1774203508673098391,1774203508930012856,256.914,256.914,0,0,1,0,200,"{""published"":true,""event_id"":""d1009f26e8c785cbaabce91374e93a9d"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:779395b5-32e2-4e74-bde0-b0e38bdede95"",""jti:d70fb2d8-5213-4666-98bf-6b1c801b0bd2""]}",7,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
