mode,run_id,sub,sid,jti,stream_start_ns,revoke_sent_ns,termination_ns,latency_to_enforce_ms,risk_window_ms,risk_window_ms_censored,risk_window_messages,post_revoke_deny,still_running_after_observe,receiver_status,receiver_body,output_lines,observe_after_revoke_ms,token_issuer,auth_flow,event_match_fields
reactive,1,user-alice-878f3878-fa9a-4dfe-9969-3ad290a5c54f,5056cc0e-762e-4639-aa30-c899765c5661,abe8c907-f286-4611-8f06-1f9b87f5c2be,1774203536170109966,1774203537170201940,1774203537426753579,256.552,256.552,0,0,1,0,200,"{""published"":true,""event_id"":""926a53ea8fffb30cefd7ff477e4e277f"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:5056cc0e-762e-4639-aa30-c899765c5661"",""jti:abe8c907-f286-4611-8f06-1f9b87f5c2be""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,2,user-alice-f25b26a3-8643-4a41-957e-ab2b218c5250,db0007a1-b668-4f50-ad33-da2ed1cb5fd7,df4e6133-1611-4a74-9eb0-97050ccec29c,1774203537460334403,1774203538460374236,1774203538717219469,256.845,256.845,0,0,1,0,200,"{""published"":true,""event_id"":""ec29966d12561bcaaa3676110e5b2dba"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:db0007a1-b668-4f50-ad33-da2ed1cb5fd7"",""jti:df4e6133-1611-4a74-9eb0-97050ccec29c""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,3,user-alice-32157d9e-79db-4b6c-9e53-f2df174f2375,d6efe5b3-83a6-4eb3-a501-363a4f374301,3d000043-2aa1-472c-8eee-819b26383911,1774203538751171313,1774203539751236996,1774203540007666236,256.429,256.429,0,0,1,0,200,"{""published"":true,""event_id"":""0d280b46c9931030125c0a4fbbb0c1fd"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:d6efe5b3-83a6-4eb3-a501-363a4f374301"",""jti:3d000043-2aa1-472c-8eee-819b26383911""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,4,user-alice-959939fe-9c68-40dd-8878-1f0081bfaf3c,f312ad04-ca60-478e-abcc-4a48375bc67d,7957bc18-cfd3-4fcd-9e74-251b966ca8b9,1774203540041491096,1774203541041604957,1774203541298943783,257.339,257.339,0,0,1,0,200,"{""published"":true,""event_id"":""49baf936fb4af5ec6f46a945a1622dd4"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:f312ad04-ca60-478e-abcc-4a48375bc67d"",""jti:7957bc18-cfd3-4fcd-9e74-251b966ca8b9""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,5,user-alice-6896dfef-c719-4528-b9bb-62afcfb4c7b5,5cdff148-577c-4e9c-9fe6-284a3c068d35,9d655d98-39a7-416d-b68e-f48a8796833c,1774203541333284736,1774203542333428956,1774203542590767189,257.338,257.338,0,0,1,0,200,"{""published"":true,""event_id"":""aebbb2cbb7d25dfc753bbc127d5691a4"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:5cdff148-577c-4e9c-9fe6-284a3c068d35"",""jti:9d655d98-39a7-416d-b68e-f48a8796833c""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,6,user-alice-2ae0cb15-718f-4bdd-8f45-4631af7c4cce,9985b448-c455-4627-916b-a82cd99d2738,69920778-78f2-48c6-9e66-5ce52fbf190d,1774203542626027690,1774203544812481934,1774203545069377368,256.895,256.895,0,0,1,0,200,"{""published"":true,""event_id"":""dc01fb015a07a7c897a48cb3f6db5fa6"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:9985b448-c455-4627-916b-a82cd99d2738"",""jti:69920778-78f2-48c6-9e66-5ce52fbf190d""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,7,user-alice-b4c151d8-73ff-4eab-ad34-f004e8951347,f102fdad-8102-40f1-b5b2-3771e3428fb8,b66c2dc1-e82f-4148-b4c0-27780bbf5f01,1774203545103807273,1774203546103906287,1774203546361025102,257.119,257.119,0,0,1,0,200,"{""published"":true,""event_id"":""6a26be73a1ee2caf6dad992b76851d25"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:f102fdad-8102-40f1-b5b2-3771e3428fb8"",""jti:b66c2dc1-e82f-4148-b4c0-27780bbf5f01""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,8,user-alice-3d34585a-2ee9-4fe0-ab57-7589379681f1,a5d28ac3-a442-47ae-b8d4-57c52946de8b,498a8c45-4ded-4097-ad0f-c9961c2b797d,1774203546395079120,1774203547395136106,1774203547651662262,256.526,256.526,0,0,1,0,200,"{""published"":true,""event_id"":""8635d5fa441a069baa72174d0d690b0a"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:a5d28ac3-a442-47ae-b8d4-57c52946de8b"",""jti:498a8c45-4ded-4097-ad0f-c9961c2b797d""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,9,user-alice-e0e225dd-c6f7-43cd-b20c-dd38f7b55e56,bd764149-3d84-4bfd-8472-1981a23131f9,29c4cfec-200c-47eb-b286-7b4aecfa33ae,1774203547683617818,1774203548683707712,1774203548940009696,256.302,256.302,0,0,1,0,200,"{""published"":true,""event_id"":""273d1e750042c1f45111b841e7a4c0c5"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:bd764149-3d84-4bfd-8472-1981a23131f9"",""jti:29c4cfec-200c-47eb-b286-7b4aecfa33ae""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,10,user-alice-2113e6a5-e72f-4235-be1b-85f30c93591b,540fa890-cc86-4fc0-aace-a458aaf9a7ca,0719b6fd-a912-4af9-8a0d-70da512cc2cb,1774203548974229392,1774203549974290444,1774203550230158404,255.868,255.868,0,0,1,0,200,"{""published"":true,""event_id"":""8655efa86b643357f6f19ef413cf4b18"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:540fa890-cc86-4fc0-aace-a458aaf9a7ca"",""jti:0719b6fd-a912-4af9-8a0d-70da512cc2cb""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,11,user-alice-49824a98-b2ab-4439-ae04-59144ec9228b,ae5c1230-60e8-4844-8451-beff6b180d16,38118e40-459d-4806-b832-0d6ff68d7762,1774203550261425492,1774203551261503478,1774203551518457072,256.954,256.954,0,0,1,0,200,"{""published"":true,""event_id"":""e45260bea26f4c391357b3aacc084dda"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:ae5c1230-60e8-4844-8451-beff6b180d16"",""jti:38118e40-459d-4806-b832-0d6ff68d7762""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,12,user-alice-f43b90bc-192e-44d8-a2e5-2e62704b8434,f73a6b96-e4ec-465d-a969-31cbd0f320d9,3b0e7753-c505-4a83-aa66-b8bc300c74ba,1774203551552310570,1774203552552346163,1774203552808524623,256.178,256.178,0,0,1,0,200,"{""published"":true,""event_id"":""079845ca01e63c72a1667d78691fbad7"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:f73a6b96-e4ec-465d-a969-31cbd0f320d9"",""jti:3b0e7753-c505-4a83-aa66-b8bc300c74ba""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,13,user-alice-906f32d7-34d1-4081-bb22-9b561c42922e,8260f52e-e43f-4595-9dd3-3d43b6f69884,d6f3438d-c7fe-4210-88f1-d0fb6fe788a1,1774203552842642044,1774203553842695158,1774203554098707904,256.013,256.013,0,0,1,0,200,"{""published"":true,""event_id"":""c3f8bba250c7068014b01df429805361"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:8260f52e-e43f-4595-9dd3-3d43b6f69884"",""jti:d6f3438d-c7fe-4210-88f1-d0fb6fe788a1""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,14,user-alice-ab9987d3-081f-4e67-b11f-015b7447793d,db8e91e7-c9bd-4217-9c65-3093f53d4ee2,4876e4be-599a-465c-a211-218f66594f1d,1774203554129374057,1774203555129418828,1774203555385494378,256.076,256.076,0,0,1,0,200,"{""published"":true,""event_id"":""7e4ebcaf421355fa69b8f671068d914a"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:db8e91e7-c9bd-4217-9c65-3093f53d4ee2"",""jti:4876e4be-599a-465c-a211-218f66594f1d""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,15,user-alice-d2f72b92-9d24-4794-8fe7-3d49dc596235,091978af-88ae-4d6e-831f-e6aabf32abb1,2908a5b7-d0d1-41d0-b4c6-d1f66f316895,1774203555416795424,1774203556416879193,1774203556672980421,256.101,256.101,0,0,1,0,200,"{""published"":true,""event_id"":""dbc0a14b9e1b837e0c78fe765d8a08e7"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:091978af-88ae-4d6e-831f-e6aabf32abb1"",""jti:2908a5b7-d0d1-41d0-b4c6-d1f66f316895""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,16,user-alice-a1e29c2d-010a-4daf-a785-5690fb4feb22,e475cb70-3419-4e67-8e46-4a9198551eb3,ff6780d8-ebea-42f9-bc5a-e7d8df67aae4,1774203556704486853,1774203557704517891,1774203557960277661,255.76,255.76,0,0,1,0,200,"{""published"":true,""event_id"":""37057dd660072326585f3b78f48473a3"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:e475cb70-3419-4e67-8e46-4a9198551eb3"",""jti:ff6780d8-ebea-42f9-bc5a-e7d8df67aae4""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,17,user-alice-f014a8b5-e782-4186-9bb5-716e3caeb126,a1b70545-b3ce-41a8-84c7-d73dfcefc9b3,27855892-40fa-4221-bb73-ffdffb7bbc3a,1774203557992910205,1774203558992995016,1774203559249746762,256.752,256.752,0,0,1,0,200,"{""published"":true,""event_id"":""99f8aab1fe764617a082e516f7b9eba5"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:a1b70545-b3ce-41a8-84c7-d73dfcefc9b3"",""jti:27855892-40fa-4221-bb73-ffdffb7bbc3a""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,18,user-alice-b4cdb02d-9ec2-4541-8f89-bee23cfca7a3,f82002b5-f7e6-4226-a1f5-344b18beb67f,c3ebb0c7-5195-4db5-9ae3-b70e952ed212,1774203559284820278,1774203560284907530,1774203560541431196,256.524,256.524,0,0,1,0,200,"{""published"":true,""event_id"":""89e2747d0ed41eee8b09ccbd7c1b2b63"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:f82002b5-f7e6-4226-a1f5-344b18beb67f"",""jti:c3ebb0c7-5195-4db5-9ae3-b70e952ed212""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,19,user-alice-ca14ae40-c294-4b93-bd47-dd6619a0d6ee,c657f36c-a8b6-4225-9294-6c11a24c71cb,375ffcfc-40ad-4c39-a6b5-2540b04458c5,1774203560574091431,1774203561574121764,1774203561830591150,256.469,256.469,0,0,1,0,200,"{""published"":true,""event_id"":""335507f49a28ed436dc1ed3f1fc557fb"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:c657f36c-a8b6-4225-9294-6c11a24c71cb"",""jti:375ffcfc-40ad-4c39-a6b5-2540b04458c5""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,20,user-alice-b4ab06bc-87c1-444e-a8e6-6e1cef09179c,35a7848c-e0be-4ebf-aef2-ebacd73a8d98,337852a2-b7ce-4ce8-9ac0-d7afcb18c9de,1774203561863534567,1774203562863637289,1774203563120423250,256.786,256.786,0,0,1,0,200,"{""published"":true,""event_id"":""dbcac7b23ba5eaa51042d0515a27afc2"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:35a7848c-e0be-4ebf-aef2-ebacd73a8d98"",""jti:337852a2-b7ce-4ce8-9ac0-d7afcb18c9de""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,21,user-alice-14f50d72-fd0d-4169-a56c-c6bbf8945f1c,e14eb970-6a7d-46c6-bc77-a6a57dcb89f7,f90e0dd0-fdc7-45d5-9c4d-b17968a18061,1774203563153736196,1774203564153828085,1774203564410334491,256.506,256.506,0,0,1,0,200,"{""published"":true,""event_id"":""d8ec563555874076ef9504d214257cfc"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:e14eb970-6a7d-46c6-bc77-a6a57dcb89f7"",""jti:f90e0dd0-fdc7-45d5-9c4d-b17968a18061""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,22,user-alice-8832f80c-1a9a-4269-bb07-8ed804d6bf36,f7cfcfa1-f069-4f41-8797-87875e2c306d,a5a1c114-969c-4e77-90e0-8fcef04bba98,1774203564443033946,1774203565443063961,1774203565699665787,256.602,256.602,0,0,1,0,200,"{""published"":true,""event_id"":""b8ea26513478811e387cf9b591ca9a44"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:f7cfcfa1-f069-4f41-8797-87875e2c306d"",""jti:a5a1c114-969c-4e77-90e0-8fcef04bba98""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
reactive,23,user-alice-6af17b8e-cbf3-41da-a16f-31c4ab17ceb2,8e0130ac-bd6c-4573-abcb-6007aeaa9cd8,83083454-2a70-4bd8-913c-7c0a85c509c7,1774203565733222571,1774203566733373472,1774203566990686539,257.313,257.313,0,0,1,0,200,"{""published"":true,""event_id"":""a63a85d164ab5bbd6655480e3deb59e4"",""event_type"":""session-revoked"",""validation_source"":""plain-json"",""identifiers"":[""sid:8e0130ac-bd6c-4573-abcb-6007aeaa9cd8"",""jti:83083454-2a70-4bd8-913c-7c0a85c509c7""]}",22,2000,http://demo-idp:8080/realms/reactive-mesh,demo-idp,"sid,jti"
